"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","type","lon","lat"
"590","Imperial Beach","California","Small","Bike",113,1,0.7,"CA","West","city",-117.1130849,32.5839444
"591","Independence","Kentucky","Small","Bike",0,0,0.3,"KY","South","city",-84.544109,38.9431183
"592","Indian Trail","North Carolina","Small","Bike",14,0.1,0.1,"NC","South","town",-80.6692352,35.0768141
"593","Indio","California","Small","Bike",133,0.5,0.3,"CA","West","city",-116.2155619,33.7205771
"594","Inkster","Michigan","Small","Bike",6,0.1,0.1,"MI","North Central","city",-83.3099303,42.2942045
"595","Inver Grove Heights","Minnesota","Small","Bike",39,0.2,0.2,"MN","North Central","city",-93.0427153,44.8480218
"596","Iowa City","Iowa","Small","Bike",1477,3.9,0.7,"IA","North Central","city",-91.5301683,41.6611277
"597","Issaquah","Washington","Small","Bike",121,0.8,0.7,"WA","West","city",-122.0326191,47.5301011
"598","Ithaca","New York","Small","Bike",283,2.2,1,"NY","Northeast","city",-76.5018807,42.4439614
"599","Jackson","Michigan","Small","Bike",95,0.8,0.5,"MI","North Central","city",-84.4013462,42.245869
"600","Jackson","Tennessee","Small","Bike",29,0.1,0.1,"TN","South","city",-88.8139469,35.6145169
"601","Jacksonville Beach","Florida","Small","Bike",267,2.3,1.1,"FL","South","city",-81.3961338,30.2841224
"602","Jacksonville","Arkansas","Small","Bike",16,0.1,0.2,"AR","South","city",-92.1101458,34.8662005
"603","Jacksonville","North Carolina","Small","Bike",303,0.8,0.6,"NC","South","city",-77.4302414,34.7540524
"604","Jamestown","New York","Small","Bike",52,0.4,0.4,"NY","Northeast","city",-79.2353259,42.0970023
"605","Janesville","Wisconsin","Small","Bike",95,0.3,0.2,"WI","North Central","city",-89.0187222,42.6827885
"606","Jefferson City","Missouri","Small","Bike",23,0.1,0.1,"MO","North Central","city",-92.1735164,38.5767017
"607","Jeffersontown","Kentucky","Small","Bike",12,0.1,0.1,"KY","South","city",-85.5644033,38.1942356
"608","Jeffersonville","Indiana","Small","Bike",87,0.4,0.4,"IN","North Central","city",-85.7371847,38.2775702
"609","Johns Creek","Georgia","Small","Bike",80,0.2,0.2,"GA","South","city",-84.198579,34.0289259
"610","Johnson City","Tennessee","Small","Bike",45,0.2,0.1,"TN","South","city",-82.3534727,36.3134397
"611","Johnstown","Pennsylvania","Small","Bike",10,0.1,0.2,"PA","Northeast","city",-78.9219698,40.3267407
"612","Jonesboro","Arkansas","Small","Bike",104,0.3,0.2,"AR","South","city",-90.704279,35.8422967
"613","Joplin","Missouri","Small","Bike",48,0.2,0.2,"MO","North Central","city",-94.513281,37.0842271
"614","Junction City","Kansas","Small","Bike",8,0.1,0.1,"KS","North Central","city",-96.8313978,39.0286093
"615","Juneau","Alaska","Small","Bike",213,1.3,0.5,"AK","West","city and borough",-134.4197221,58.3019444
"616","Jupiter","Florida","Small","Bike",179,0.7,0.4,"FL","South","town",-80.0942087,26.9342246
"617","Jurupa Valley","California","Small","Bike",86,0.2,0.1,"CA","West","city",-117.4854802,33.9971974
"618","Kalamazoo","Michigan","Small","Bike",322,1,0.4,"MI","North Central","city",-85.5872286,42.2917069
"619","Kalispell","Montana","Small","Bike",188,2.1,1.3,"MT","West","city",-114.316813,48.1919889
"620","Kankakee","Illinois","Small","Bike",42,0.4,0.3,"IL","North Central","city",-87.8611531,41.1200325
"621","Kannapolis","North Carolina","Small","Bike",35,0.2,0.2,"NC","South","city",-80.6217341,35.4873613
"622","Kaysville","Utah","Small","Bike",26,0.2,0.2,"UT","West","city",-111.9385521,41.0352216
"623","Kearney","Nebraska","Small","Bike",217,1.3,0.7,"NE","North Central","city",-99.0816784,40.6993303
"624","Kearny","New Jersey","Small","Bike",21,0.1,0.2,"NJ","Northeast","town",-74.1454214,40.7684342
"625","Keene","New Hampshire","Small","Bike",112,1,0.7,"NH","Northeast","city",-72.2781409,42.933692
"626","Keizer","Oregon","Small","Bike",159,1,0.6,"OR","West","city",-123.0262077,44.9901194
"627","Keller","Texas","Small","Bike",15,0.1,0.1,"TX","South","city",-97.229298,32.9341893
"628","Kenmore","Washington","Small","Bike",51,0.5,0.5,"WA","West","city",-122.2496863,47.7583576
"629","Kenner","Louisiana","Small","Bike",111,0.3,0.4,"LA","South","city",-90.2417434,29.9940924
"630","Kennesaw","Georgia","Small","Bike",0,0,0.3,"GA","South","city",-84.6154897,34.0234337
"631","Kennewick","Washington","Small","Bike",92,0.3,0.2,"WA","West","city",-119.119948,46.2086683
"632","Kent","Ohio","Small","Bike",191,1.3,0.7,"OH","North Central","city",-81.3578859,41.1536674
"633","Kentwood","Michigan","Small","Bike",197,0.8,0.6,"MI","North Central","city",-85.6447492,42.8694731
"634","Kernersville","North Carolina","Small","Bike",0,0,0.3,"NC","South","town",-80.0736533,36.1198588
"635","Kerrville","Texas","Small","Bike",31,0.4,0.4,"TX","South","city",-99.1403189,30.0474332
"636","Kettering","Ohio","Small","Bike",119,0.4,0.3,"OH","North Central","city",-84.1688274,39.6895036
"637","Key West","Florida","Small","Bike",2439,17.4,2.9,"FL","South","city",-81.7799871,24.5550593
"638","Kingman","Arizona","Small","Bike",32,0.3,0.3,"AZ","West","city",-114.0530065,35.189443
"639","Kingsport","Tennessee","Small","Bike",37,0.2,0.2,"TN","South","city",-82.5618186,36.548434
"640","Kingston","New York","Small","Bike",84,0.8,0.6,"NY","Northeast","city",-73.9973608,41.9270367
"641","Kingsville","Texas","Small","Bike",15,0.1,0.2,"TX","South","city",-97.856109,27.5158689
"642","Kinston","North Carolina","Small","Bike",20,0.3,0.3,"NC","South","city",-77.5816353,35.2626635
"643","Kirkland","Washington","Small","Bike",273,1,0.4,"WA","West","city",-122.2059833,47.6768927
"644","Kirkwood","Missouri","Small","Bike",15,0.1,0.2,"MO","North Central","city",-90.406785,38.5833862
"645","Kiryas Joel","New York","Small","Bike",0,0,0.9,"NY","Northeast","village",-74.167924,41.3420381
"646","Kissimmee","Florida","Small","Bike",243,0.9,0.6,"FL","South","city",-81.407571,28.2919557
"647","Klamath Falls","Oregon","Small","Bike",31,0.3,0.3,"OR","West","city",-121.7816704,42.224867
"648","Kokomo","Indiana","Small","Bike",141,0.7,0.3,"IN","North Central","city",-86.1336033,40.486427
"649","Kyle","Texas","Small","Bike",0,0,0.3,"TX","South","city",-97.8772267,29.9891052
"650","La Cañada Flintridge","California","Small","Bike",12,0.1,0.2,"CA","West","city",-118.2000277,34.2068182
"651","La Crosse","Wisconsin","Small","Bike",701,2.6,0.7,"WI","North Central","city",-91.2519017,43.8137751
"652","La Habra","California","Small","Bike",143,0.5,0.3,"CA","West","city",-117.946137,33.9318591
"653","La Mesa","California","Small","Bike",110,0.4,0.3,"CA","West","city",-117.0230839,32.7678287
"654","La Mirada","California","Small","Bike",134,0.6,0.3,"CA","West","city",-118.0120086,33.9172357
"655","La Porte","Indiana","Small","Bike",41,0.4,0.5,"IN","North Central","city",-86.7227195,41.611143
"656","La Porte","Texas","Small","Bike",62,0.4,0.4,"TX","South","city",-95.0193728,29.6657838
"657","La Puente","California","Small","Bike",244,1.4,0.9,"CA","West","city",-117.9495083,34.0200114
"658","La Quinta","California","Small","Bike",158,1,0.8,"CA","West","city",-116.3100095,33.6633573
"659","La Vergne","Tennessee","Small","Bike",10,0.1,0.1,"TN","South","city",-86.5819394,36.0156178
"660","La Verne","California","Small","Bike",69,0.5,0.4,"CA","West","city",-117.7678355,34.1008426
"661","Lacey","Washington","Small","Bike",90,0.5,0.3,"WA","West","city",-122.8232553,47.0358969
"662","Lafayette","California","Small","Bike",30,0.3,0.3,"CA","West","city",-122.1180201,37.8857582
"663","Lafayette","Colorado","Small","Bike",130,1,0.5,"CO","West","city",-105.0897058,39.9935959
"664","Lafayette","Indiana","Small","Bike",232,0.7,0.4,"IN","North Central","city",-86.8752869,40.4167022
"665","LaGrange","Georgia","Small","Bike",6,0.1,0.1,"GA","South","city",-85.0322444,33.0362218
"666","Laguna Beach","California","Small","Bike",60,0.5,0.5,"CA","West","city",-117.7853568,33.5427189
"667","Laguna Hills","California","Small","Bike",138,0.9,0.6,"CA","West","city",-117.6986604,33.5916433
"668","Laguna Niguel","California","Small","Bike",54,0.2,0.2,"CA","West","city",-117.7149438,33.5236744
"669","Lake Charles","Louisiana","Small","Bike",81,0.3,0.2,"LA","South","city",-93.2173758,30.2265949
"670","Lake Elsinore","California","Small","Bike",0,0,0.2,"CA","West","city",-117.3272615,33.6680772
"671","Lake Forest","California","Small","Bike",246,0.6,0.3,"CA","West","city",-117.6861023,33.6469437
"672","Lake Havasu City","Arizona","Small","Bike",47,0.2,0.2,"AZ","West","city",-114.3224548,34.483901
"673","Lake in the Hills","Illinois","Small","Bike",0,0,0.2,"IL","North Central","village",-88.3303618,42.1816908
"674","Lake Jackson","Texas","Small","Bike",7,0.1,0.1,"TX","South","city",-95.4343859,29.0338575
"675","Lake Oswego","Oregon","Small","Bike",98,0.6,0.4,"OR","West","city",-122.7163273,45.415734
"676","Lake Stevens","Washington","Small","Bike",0,0,0.2,"WA","West","city",-122.0637425,48.015098
"677","Lake Worth","Florida","Small","Bike",126,0.8,0.7,"FL","South","city",-80.0684479,26.6167555
"678","Lakeland","Florida","Small","Bike",206,0.5,0.3,"FL","South","city",-81.9498042,28.0394654
"679","Lakeville","Minnesota","Small","Bike",55,0.2,0.2,"MN","North Central","city",-93.24272,44.6496868
"680","Lakewood","California","Small","Bike",247,0.6,0.3,"CA","West","city",-118.1339563,33.8536269
"681","Lakewood","Ohio","Small","Bike",171,0.6,0.3,"OH","North Central","city",-81.7981908,41.4819932
"682","Lakewood","Washington","Small","Bike",128,0.5,0.4,"WA","West","city",-122.518458,47.1717649
"683","Lancaster","Ohio","Small","Bike",34,0.2,0.2,"OH","North Central","city",-82.5993294,39.7136754
"684","Lancaster","Pennsylvania","Small","Bike",200,0.8,0.4,"PA","Northeast","city",-76.3055144,40.0378755
"685","Lancaster","Texas","Small","Bike",0,0,0.2,"TX","South","city",-96.7561082,32.5920798
"686","Lansing","Illinois","Small","Bike",3,0,0.1,"IL","North Central","village",-87.538931,41.5647575
"687","Laramie","Wyoming","Small","Bike",1088,6.8,1.8,"WY","West","city",-105.5911007,41.3113669
"688","Largo","Florida","Small","Bike",441,1.4,0.6,"FL","South","city",-82.7873244,27.9094665
"689","Lauderdale Lakes","Florida","Small","Bike",15,0.1,0.2,"FL","South","city",-80.2083806,26.1664736
"690","Lauderhill","Florida","Small","Bike",51,0.2,0.2,"FL","South","city",-80.2133808,26.1403635
"691","Laurel","Maryland","Small","Bike",143,1,1.2,"MD","South","city",-76.8483061,39.0992752
"692","Lawndale","California","Small","Bike",316,2.2,1.2,"CA","West","city",-118.3525744,33.887237
"693","Lawrence","Indiana","Small","Bike",0,0,0.1,"IN","North Central","city",-86.0252612,39.8386516
"694","Lawrence","Kansas","Small","Bike",885,1.9,0.6,"KS","North Central","city",-95.2352501,38.9716689
"695","Lawrence","Massachusetts","Small","Bike",9,0,0.1,"MA","Northeast","city",-71.1631137,42.7070354
"696","Lawrenceville","Georgia","Small","Bike",0,0,0.3,"GA","South","city",-83.9879625,33.9562149
"697","Lawton","Oklahoma","Small","Bike",75,0.2,0.1,"OK","South","city",-98.3959291,34.6035669
"698","Layton","Utah","Small","Bike",42,0.1,0.1,"UT","West","city",-111.9710529,41.0602216
"699","League City","Texas","Small","Bike",87,0.2,0.2,"TX","South","city",-95.0949303,29.5074538
"700","Leander","Texas","Small","Bike",7,0.1,0.1,"TX","South","city",-97.8530686,30.5788055
"701","Leavenworth","Kansas","Small","Bike",159,1.1,0.6,"KS","North Central","city",-94.9224637,39.3111112
"702","Leawood","Kansas","Small","Bike",14,0.1,0.1,"KS","North Central","city",-94.6169012,38.966673
"703","Lebanon","Ohio","Small","Bike",0,0,0.3,"OH","North Central","city",-84.2029922,39.4353373
"704","Lebanon","Pennsylvania","Small","Bike",118,1.1,0.9,"PA","Northeast","city",-76.4113497,40.3409251
"705","Lebanon","Tennessee","Small","Bike",12,0.1,0.2,"TN","South","city",-86.2911024,36.2081098
"706","Lee's Summit","Missouri","Small","Bike",8,0,0.1,"MO","North Central","city",-94.3821724,38.9108408
"707","Leesburg","Florida","Small","Bike",50,0.7,0.9,"FL","South","city",-81.8778582,28.810823
"708","Leesburg","Virginia","Small","Bike",69,0.3,0.4,"VA","South","town",-77.5636015,39.1156615
"709","Lehi","Utah","Small","Bike",26,0.1,0.2,"UT","West","city",-111.8507662,40.3916172
"710","Lemon Grove","California","Small","Bike",31,0.3,0.2,"CA","West","city",-117.0314172,32.7425516
"711","Lemoore","California","Small","Bike",60,0.5,0.7,"CA","West","city",-119.7829107,36.3007835
"712","Lenexa","Kansas","Small","Bike",47,0.2,0.1,"KS","North Central","city",-94.7335709,38.9536174
"713","Leominster","Massachusetts","Small","Bike",45,0.2,0.4,"MA","Northeast","city",-71.759794,42.5250906
"714","Lewiston","Idaho","Small","Bike",80,0.5,0.4,"ID","West","city",-117.001189,46.4004089
"715","Lewiston","Maine","Small","Bike",65,0.4,0.3,"ME","Northeast","city",-70.2147764,44.100351
"716","Lewisville","Texas","Small","Bike",291,0.6,0.3,"TX","South","city",-96.994174,33.046233
"717","Liberal","Kansas","Small","Bike",110,1.2,1.2,"KS","North Central","city",-100.920999,37.0430812
"718","Liberty","Missouri","Small","Bike",4,0,0.1,"MO","North Central","city",-94.4191177,39.2461138
"719","Libertyville","Illinois","Small","Bike",90,0.9,0.6,"IL","North Central","village",-87.9531303,42.2830786
"720","Lima","Ohio","Small","Bike",45,0.3,0.3,"OH","North Central","city",-84.1052256,40.742551
"721","Lincoln","California","Small","Bike",118,0.8,0.6,"CA","West","city",-121.2930079,38.891565
"722","Lincoln Park","Michigan","Small","Bike",52,0.4,0.3,"MI","North Central","city",-83.1785361,42.2505943
"723","Linden","New Jersey","Small","Bike",22,0.1,0.1,"NJ","Northeast","city",-74.2445902,40.6220478
"724","Lindenhurst","New York","Small","Bike",0,0,0.2,"NY","Northeast","village",-73.3734547,40.6867667
"725","Lino Lakes","Minnesota","Small","Bike",38,0.4,0.3,"MN","North Central","city",-93.0888324,45.1602442
"726","Lisle","Illinois","Small","Bike",10,0.1,0.1,"IL","North Central","village",-88.0747875,41.801141
"727","Little Elm","Texas","Small","Bike",0,0,0.3,"TX","South","city",-96.9375051,33.1626193
"728","Littleton","Colorado","Small","Bike",93,0.4,0.2,"CO","West","city",-105.0166498,39.613321
"729","Livermore","California","Small","Bike",480,1.2,0.3,"CA","West","city",-121.7684732,37.6818688
"730","Livonia","Michigan","Small","Bike",45,0.1,0.1,"MI","North Central","city",-83.3527097,42.36837
"731","Lockport","Illinois","Small","Bike",0,0,0.2,"IL","North Central","city",-88.057837,41.5894752
"732","Lockport","New York","Small","Bike",57,0.6,0.5,"NY","Northeast","city",-78.6903098,43.1706128
"733","Lodi","New Jersey","Small","Bike",84,0.7,0.6,"NJ","Northeast","borough",-74.0831971,40.8823215
"734","Lodi","California","Small","Bike",173,0.7,0.3,"CA","West","city",-121.2722194,38.1341477
"735","Logan","Utah","Small","Bike",982,4.1,1.1,"UT","West","city",-111.8338359,41.7369803
"736","Loma Linda","California","Small","Bike",93,0.9,0.8,"CA","West","city",-117.2611527,34.0483474
"737","Lombard","Illinois","Small","Bike",143,0.6,0.7,"IL","North Central","village",-88.0078435,41.8800296
"738","Lomita","California","Small","Bike",147,1.5,0.9,"CA","West","city",-118.3150722,33.7922392
"739","Lompoc","California","Small","Bike",81,0.5,0.3,"CA","West","city",-120.4579409,34.6391501
"740","Long Beach","New York","Small","Bike",194,1.1,0.5,"NY","Northeast","city",-73.657908,40.5884373
"741","Long Branch","New Jersey","Small","Bike",296,1.9,1.4,"NJ","Northeast","city",-73.9923596,40.3042778
"742","Longmont","Colorado","Small","Bike",410,1,0.3,"CO","West","city",-105.1019275,40.1672068
"743","Longview","Texas","Small","Bike",133,0.4,0.3,"TX","South","city",-94.7404891,32.5007037
"744","Longview","Washington","Small","Bike",141,1,0.5,"WA","West","city",-122.9381672,46.1381676
"745","Lorain","Ohio","Small","Bike",72,0.3,0.3,"OH","North Central","city",-82.1823746,41.452819
"746","Los Altos","California","Small","Bike",216,1.8,0.9,"CA","West","city",-122.1141298,37.3852183
"747","Los Banos","California","Small","Bike",48,0.4,0.4,"CA","West","city",-120.8499151,37.0582786
"748","Los Gatos","California","Small","Bike",96,0.7,0.5,"CA","West","town",-121.9623751,37.2358078
"749","Loveland","Colorado","Small","Bike",297,0.9,0.4,"CO","West","city",-105.0749801,40.3977612
"750","Loves Park","Illinois","Small","Bike",36,0.3,0.4,"IL","North Central","city",-89.0581621,42.3200189
"751","Lufkin","Texas","Small","Bike",72,0.5,0.4,"TX","South","city",-94.729097,31.3382406
"752","Lumberton","North Carolina","Small","Bike",13,0.2,0.3,"NC","South","city",-79.0086424,34.6182199
"753","Lynchburg","Virginia","Small","Bike",34,0.1,0.1,"VA","South","city",-79.1422464,37.4137536
"754","Lynn","Massachusetts","Small","Bike",280,0.7,0.5,"MA","Northeast","city",-70.9494938,42.466763
"755","Lynnwood","Washington","Small","Bike",31,0.2,0.2,"WA","West","city",-122.3151314,47.8209301
"756","Lynwood","California","Small","Bike",114,0.5,0.3,"CA","West","city",-118.2114603,33.930293
"757","Machesney Park","Illinois","Small","Bike",21,0.2,0.2,"IL","North Central","village",-89.0389956,42.3472406
"758","Macon","Georgia","Small","Bike",46,0.1,0.1,"GA","South","city",-83.6324022,32.8406946
"759","Madera","California","Small","Bike",89,0.5,0.4,"CA","West","city",-120.0607176,36.9613356
"760","Madison","Alabama","Small","Bike",56,0.3,0.3,"AL","South","city",-86.7483318,34.6992579
"761","Madison","Mississippi","Small","Bike",0,0,0.3,"MS","South","city",-90.1153638,32.4618086
"762","Madison Heights","Michigan","Small","Bike",45,0.3,0.3,"MI","North Central","city",-83.1052028,42.4858692
"763","Malden","Massachusetts","Small","Bike",240,0.8,0.5,"MA","Northeast","city",-71.066163,42.4250964
"764","Manassas","Virginia","Small","Bike",65,0.3,0.5,"VA","South","city",-77.4752667,38.7509488
"765","Manhattan Beach","California","Small","Bike",123,0.7,0.4,"CA","West","city",-118.4109089,33.8847361
"766","Manhattan","Kansas","Small","Bike",357,1.2,0.5,"KS","North Central","city",-96.5716694,39.1836082
"767","Manitowoc","Wisconsin","Small","Bike",146,0.9,0.5,"WI","North Central","city",-87.657584,44.0886059
"768","Mankato","Minnesota","Small","Bike",175,0.8,0.3,"MN","North Central","city",-93.9993996,44.1635775
"769","Mansfield","Ohio","Small","Bike",11,0.1,0.1,"OH","North Central","city",-82.5154471,40.75839
"770","Mansfield","Texas","Small","Bike",0,0,0.1,"TX","South","city",-97.1416768,32.5631924
"771","Manteca","California","Small","Bike",80,0.3,0.2,"CA","West","city",-121.2160526,37.7974273
"772","Maple Grove","Minnesota","Small","Bike",69,0.2,0.1,"MN","North Central","city",-93.4557877,45.0724642
"773","Maple Heights","Ohio","Small","Bike",28,0.3,0.4,"OH","North Central","city",-81.565956,41.4153313
"774","Maple Valley","Washington","Small","Bike",13,0.1,0.2,"WA","West","city",-122.0453589,47.3903403
"775","Maplewood","Minnesota","Small","Bike",76,0.4,0.3,"MN","North Central","city",-92.9952153,44.9530215
"776","Marana","Arizona","Small","Bike",28,0.2,0.2,"AZ","West","town",-111.2224422,32.436381
"777","Margate","Florida","Small","Bike",115,0.5,0.3,"FL","South","city",-80.206436,26.2445263
"778","Maricopa","Arizona","Small","Bike",158,0.8,0.9,"AZ","West","city",-112.0476423,33.0581063
"779","Marietta","Georgia","Small","Bike",125,0.4,0.4,"GA","South","city",-84.5499327,33.952602
"780","Marina","California","Small","Bike",73,0.8,0.6,"CA","West","city",-121.802173,36.6844029
"781","Marion","Indiana","Small","Bike",79,0.7,0.4,"IN","North Central","city",-85.6591442,40.5583739
"782","Marion","Iowa","Small","Bike",79,0.4,0.4,"IA","North Central","city",-91.5968958,42.033279
"783","Marion","Ohio","Small","Bike",0,0,0.2,"OH","North Central","city",-83.1285242,40.5886699
"784","Marlborough","Massachusetts","Small","Bike",0,0,0.2,"MA","Northeast","city",-71.5522874,42.3459271
"785","Marquette","Michigan","Small","Bike",224,2.2,1,"MI","North Central","city",-87.3953713,46.5436199
"786","Marshall","Texas","Small","Bike",0,0,0.4,"TX","South","city",-94.3674184,32.5448714
"787","Marshalltown","Iowa","Small","Bike",157,1.3,0.8,"IA","North Central","city",-92.9080375,42.0494674
"788","Martinez","California","Small","Bike",111,0.6,0.4,"CA","West","city",-122.1341321,38.0193657
"789","Maryland Heights","Missouri","Small","Bike",0,0,0.2,"MO","North Central","city",-90.4298401,38.7131073
"790","Marysville","Ohio","Small","Bike",5,0.1,0.1,"OH","North Central","city",-83.3671432,40.2364486
"791","Marysville","Washington","Small","Bike",63,0.2,0.2,"WA","West","city",-122.1770818,48.0517637
"792","Maryville","Tennessee","Small","Bike",37,0.3,0.3,"TN","South","city",-83.9704593,35.7564719
"793","Mason City","Iowa","Small","Bike",138,1,0.6,"IA","North Central","city",-93.2010367,43.1535728
"794","Mason","Ohio","Small","Bike",11,0.1,0.1,"OH","North Central","city",-84.309939,39.3600586
"795","Massillon","Ohio","Small","Bike",12,0.1,0.1,"OH","North Central","city",-81.5215093,40.7967244
"796","Matthews","North Carolina","Small","Bike",14,0.1,0.2,"NC","South","town",-80.7236804,35.1168131
"797","Mauldin","South Carolina","Small","Bike",0,0,0.3,"SC","South","city",-82.310119,34.77873
"798","Maywood","California","Small","Bike",177,1.6,0.9,"CA","West","city",-118.185349,33.9866807
"799","Maywood","Illinois","Small","Bike",0,0,0.3,"IL","North Central","village",-87.8431155,41.8791979
"800","McDonough","Georgia","Small","Bike",40,0.5,0.7,"GA","South","city",-84.1468616,33.4473361
"801","McHenry","Illinois","Small","Bike",13,0.1,0.2,"IL","North Central","city",-88.2667534,42.333355
"802","McMinnville","Oregon","Small","Bike",283,2.1,1.3,"OR","West","city",-123.1987163,45.2101162
"803","Medford","Massachusetts","Small","Bike",542,1.7,0.5,"MA","Northeast","city",-71.1061639,42.4184296
"804","Medford","Oregon","Small","Bike",349,1.1,0.5,"OR","West","city",-122.8755949,42.3265152
"805","Medina","Ohio","Small","Bike",25,0.2,0.2,"OH","North Central","city",-81.8552196,41.143245
"806","Melbourne","Florida","Small","Bike",258,0.8,0.4,"FL","South","city",-80.6081089,28.0836269
"807","Melrose","Massachusetts","Small","Bike",157,1.1,0.7,"MA","Northeast","city",-71.0661633,42.4584292
"808","Melrose Park","Illinois","Small","Bike",25,0.2,0.3,"IL","North Central","village",-87.8567276,41.9005865
"809","Menifee","California","Small","Bike",95,0.3,0.3,"CA","West","city",-117.185294,33.6971468
"810","Menlo Park","California","Small","Bike",1186,7.6,1.6,"CA","West","city",-122.1817252,37.4529598
"811","Menomonee Falls","Wisconsin","Small","Bike",0,0,0.1,"WI","North Central","village",-88.1173132,43.1788967
"812","Mentor","Ohio","Small","Bike",31,0.1,0.2,"OH","North Central","city",-81.339552,41.6661573
"813","Mequon","Wisconsin","Small","Bike",32,0.3,0.4,"WI","North Central","city",-88.0314174,43.2159232
"814","Merced","California","Small","Bike",165,0.6,0.3,"CA","West","city",-120.4829677,37.3021632
"815","Mercer Island","Washington","Small","Bike",84,0.8,0.6,"WA","West","city",-122.2220674,47.5706548
"816","Meriden","Connecticut","Small","Bike",49,0.2,0.2,"CT","Northeast","city",-72.8070435,41.5381535
"817","Meridian","Idaho","Small","Bike",85,0.3,0.2,"ID","West","city",-116.3915131,43.6121087
"818","Meridian","Mississippi","Small","Bike",0,0,0.2,"MS","South","city",-88.703656,32.3643098
"819","Merrillville","Indiana","Small","Bike",14,0.1,0.1,"IN","North Central","town",-87.3328139,41.4828144
"820","Methuen Town","Massachusetts","Small","Bike",11,0,0.1,"MA","Northeast","city",-71.1908924,42.7262016
"821","Miami Beach","Florida","Small","Bike",2449,5.1,1.2,"FL","South","city",-80.1300455,25.790654
"822","Miami Lakes","Florida","Small","Bike",0,0,0.3,"FL","South","town",-80.3086619,25.9087056
"823","Miamisburg","Ohio","Small","Bike",0,0,0.3,"OH","North Central","city",-84.2866083,39.6428362
"824","Michigan City","Indiana","Small","Bike",36,0.3,0.4,"IN","North Central","city",-86.8950297,41.7075394
"825","Middletown","Connecticut","Small","Bike",44,0.2,0.2,"CT","Northeast","city",-72.6506488,41.5623209
"826","Middletown","New York","Small","Bike",48,0.4,0.4,"NY","Northeast","city",-74.4229341,41.4459271
"827","Middletown","Ohio","Small","Bike",20,0.1,0.1,"OH","North Central","city",-84.3982763,39.5150576
"828","Midland","Michigan","Small","Bike",265,1.4,0.6,"MI","North Central","city",-84.2472116,43.6155825
"829","Midvale","Utah","Small","Bike",28,0.2,0.2,"UT","West","city",-111.8999353,40.6110589
"830","Midwest City","Oklahoma","Small","Bike",127,0.5,0.3,"OK","South","city",-97.3967019,35.4495065
"831","Milford city (balance)","Connecticut","Small","Bike",28,0.1,0.1,"CT","Northeast","city (balance)",-73.064036,41.2306979
"832","Millbrae","California","Small","Bike",20,0.2,0.2,"CA","West","city",-122.3871942,37.5985468
"833","Millville","New Jersey","Small","Bike",50,0.4,0.4,"NJ","Northeast","city",-75.0393438,39.4020596
"834","Milpitas","California","Small","Bike",39,0.1,0.1,"CA","West","city",-121.8995741,37.4323341
"835","Milton","Georgia","Small","Bike",0,0,0.3,"GA","South","city",-84.300666,34.1321631
"836","Milwaukie","Oregon","Small","Bike",82,0.8,0.5,"OR","West","city",-122.6322812,45.4465305
"837","Minnetonka","Minnesota","Small","Bike",138,0.5,0.2,"MN","North Central","city",-93.4687489,44.9211836
"838","Minot","North Dakota","Small","Bike",128,0.6,0.4,"ND","North Central","city",-101.2922906,48.2329668
"839","Mint Hill","North Carolina","Small","Bike",0,0,0.4,"NC","South","town",-80.6570304,35.1735404
"840","Mishawaka","Indiana","Small","Bike",133,0.6,0.3,"IN","North Central","city",-86.1586156,41.6619927
"841","Mission","Texas","Small","Bike",40,0.1,0.2,"TX","South","city",-98.3252932,26.2159066
"842","Mission Viejo","California","Small","Bike",70,0.2,0.1,"CA","West","city",-117.6581562,33.5968913
"843","Missoula","Montana","Small","Bike",2160,6.2,0.9,"MT","West","city",-113.9940314,46.8721284
"844","Missouri City","Texas","Small","Bike",0,0,0.1,"TX","South","city",-95.5377215,29.6185669
"845","Moline","Illinois","Small","Bike",88,0.4,0.3,"IL","North Central","city",-90.5151342,41.5067003
"846","Monroe","Louisiana","Small","Bike",71,0.4,0.3,"LA","South","city",-92.1193012,32.5093109
"847","Monroe","Michigan","Small","Bike",24,0.3,0.3,"MI","North Central","city",-83.3977101,41.9164343
"848","Monroe","North Carolina","Small","Bike",19,0.1,0.2,"NC","South","city",-80.5495112,34.9854275
"849","Monroeville","Pennsylvania","Small","Bike",0,0,0.2,"PA","Northeast","municipality",-79.7881024,40.4211798
"850","Monrovia","California","Small","Bike",133,0.7,0.5,"CA","West","city",-118.0019482,34.1442616
"851","Montclair","California","Small","Bike",56,0.4,0.4,"CA","West","city",-117.6897776,34.0775104
"852","Montebello","California","Small","Bike",64,0.3,0.2,"CA","West","city",-118.1137535,34.0165053
"853","Monterey","California","Small","Bike",477,3.1,1,"CA","West","city",-121.8946761,36.6002378
"854","Monterey Park","California","Small","Bike",113,0.4,0.3,"CA","West","city",-118.1228476,34.0625106
"855","Moore","Oklahoma","Small","Bike",22,0.1,0.1,"OK","South","city",-97.4867028,35.3395079
"856","Mooresville","North Carolina","Small","Bike",13,0.1,0.2,"NC","South","town",-80.8081413,35.5859146
"857","Moorhead","Minnesota","Small","Bike",177,0.9,0.4,"MN","North Central","city",-96.7678039,46.8737648
"858","Moorpark","California","Small","Bike",29,0.2,0.2,"CA","West","city",-118.8820414,34.285558
